hevsengîya doza jîngehê û doza geşkirina civakî, pêwîstî bi sîyaseteka aqilaneya Ewropayî heye.
	
hevsengî	NOUN		
ya	IZAFE		
doz	NOUN		
a	IZAFE		
jîngeh	NOUN		
ê	DET		
û	CCONJ		
doz	NOUN		
a	IZAFE		
geşkirin	NOUN		
a	IZAFE		
civakî	ADJ		
,	PUNCT		
pêwîstî	NOUN		
bi	ADP		
sîyaset	NOUN		
ek	DET		
a	IZAFE		
aqilane	ADJ		
ya	IZAFE		
Ewropayî	ADJ		
heye	VERB		
.	PUNCT		
	
divê Ewropa bi firehferhengîyê û bi sîyaseta pêşgîrîya çalakane, xebatê ji bo aştîya cîhanî bike.
	
divê	VERB		
Ewropa	PROPN		
bi	ADP		
firehferhengî	NOUN		
yê	DET		
û	CCONJ		
bi	ADP		
sîyaset	NOUN		
a	IZAFE		
pêşgîrî	NOUN		
ya	IZAFE		
çalakane	ADJ		
,	PUNCT		
xebat	NOUN		
ê	DET		
ji	ADP		
bo	ADP		
aştî	NOUN		
ya	IZAFE		
cîhanî	ADJ		
bike	VERB		
.	PUNCT		
	
di civîna îro de pêşnîyarên alîyên Kurdî yên di bareya dabeşkirina desthilatê de li Kerkûkê hatin şopandin.
	
di	ADP		
civîn	NOUN		
a	IZAFE		
îro	NOUN		
de	ADP		
pêşnîyar	NOUN		
ên	IZAFE		
alî	NOUN		
yên	IZAFE		
Kurdî	ADJ		
yên	IZAFE		
di	ADP		
bare	NOUN		
ya	DET		
dabeşkirin	NOUN		
a	IZAFE		
desthilat	NOUN		
ê	DET		
de	ADP		
li	ADP		
Kerkûk	PROPN		
ê	DET		
hatin	AUX		
şopandin	VERB		
.	PUNCT		
	
endamên encûmena wezîrên herêma Kurdistanê weha dan nîşandan, ku dibe armancên sîyasî li dûv evî hilwestî hebin.
	
endam	NOUN		
ên	IZAFE		
encûmen	NOUN		
a	IZAFE		
wezîr	NOUN		
ên	IZAFE		
herêm	NOUN		
a	IZAFE		
Kurdistan	PROPN		
ê	DET		
weha	SCONJ		
dan	AUX		
nîşandan	VERB		
,	PUNCT		
ku	SCONJ		
dibe	VERB		
armanc	NOUN		
ên	IZAFE		
sîyasî	NOUN		
li duv	ADP		
evî	PRON		
hilwest	NOUN		
î	DET		
hebin	VERB		
.	PUNCT		
	
ew jî ji ber ku dezgehên herêma Kurdistanê li angora destûra Iraqê hatine naskirin.
	
ew	PRON		
jî	ADV		
ji ber	ADP		
ku	SCONJ		
dezgeh	NOUN		
ên	IZAFE		
herêm	NOUN		
a	IZAFE		
Kurdistan	PROPN		
ê	IZAFE		
li angora	ADP		
destûr	NOUN		
a	IZAFE		
Iraq	PROPN		
ê	DET		
hatine	AUX		
naskirin	VERB		
.	PUNCT		
	
serokê hukûmetê ji bo wê dîyarîyê supasîya konsulê Çîkî kir û hêvîya serkeftinê jê re xwest.
	
serok	NOUN		
ê	IZAFE		
hukûmet	NOUN		
ê	DET		
ji	ADP		
bo	ADP		
wê	PRON		
dîyarî	NOUN		
yê	DET		
supasî	NOUN		
ya	IZAFE		
konsul	NOUN		
ê	IZAFE		
Çîkî	PROPN		
kir	VERB		
û	CCONJ		
hêvî	NOUN		
ya	IZAFE		
serkeftin	NOUN		
ê	DET		
jê	ADP		
re	ADP		
xwest	VERB		
.	PUNCT		
	
her di evê dîdarê de, tekezî li ser rewşa giştîya Iraqê jî hat kirin.
	
her	PRON		
di	ADJ		
evê	PRON		
dîdar	NOUN		
ê	DET		
de	ADP		
,	PUNCT		
tekezî	NOUN		
li ser	ADP		
rewş	NOUN		
a	IZAFE		
giştî	ADJ		
ya	IZAFE		
Iraq	PROPN		
ê	DET		
jî	ADV		
hat	AUX		
kirin	VERB		
.	PUNCT		
	
di beşeke din ya axaftinên xwe de, Şenşel piştgirîya alîyê xwe ji bo sazmendî û sererast kirina posteya wezaretê dîyar kir.
	
di	ADP		
beş	NOUN		
ek	DET		
e	IZAFE		
din	ADJ		
ya	IZAFE		
axaftin	NOUN		
ên	IZAFE		
xwe	PRON		
de	ADP		
,	PUNCT		
Şenşel	PROPN		
piştgirî	NOUN		
ya	IZAFE		
alî	NOUN		
yê	IZAFE		
xwe	PRON		
ji	ADP		
bo	ADP		
sazmendî	NOUN		
û	CCONJ		
sererastkirin	NOUN		
a	IZAFE		
poste	NOUN		
ya	IZAFE		
wezaret	NOUN		
ê	IZAFE		
dîyar kir	VERB		
.	PUNCT		
	
wekî din got, hukûmeta Baxdadê divê li ser milê xwe nexşesazîya wê dirûst bike lê ne amade ye budceya projeyê peyîda bike.
	
wekî din	ADV		
got	VERB		
,	PUNCT		
hukûmet	NOUN		
a	IZAFE		
Baxdad	PROPN		
ê	DET		
divê	VERB		
li ser	ADP		
mil	NOUN		
ê	IZAFE		
xwe	PRON		
nexşesazî	NOUN		
ya	IZAFE		
wê	PRON		
dirûst bike	VERB		
lê	CCONJ		
ne	PART		
amade	ADJ		
ye	VERB		
budce	NOUN		
ya	IZAFE		
proje	NOUN		
yê	DET		
peyîda bike	VERB		
.	PUNCT		
	
rê jî nade ku careka din ezmona tal di evê dîroka hevçerxa sîyasîya Iraqê de dubare bibe.
	
rê	NOUN		
jî	ADV		
nade	VERB		
ku	SCONJ		
car	NOUN		
ek	DET		
a	IZAFE		
din	ADJ		
ezmon	NOUN		
a	IZAFE		
tal	ADJ		
di	ADP		
evê	PRON		
dîrok	NOUN		
a	IZAFE		
hevçerx	NOUN		
a	IZAFE		
sîyasî	ADJ		
ya	IZAFE		
Iraq	PROPN		
ê	DET		
de	ADP		
dubare bibe	VERB		
.	PUNCT		
	
ev projeya han berî çend rojan test bû, belê niha bû fermî.
	
ev	PRON		
proje	NOUN		
ya	IZAFE		
han	PART		
berî	ADP		
çend	ADV		
roj	NOUN		
an	DET		
test	NOUN		
bû	VERB		
,	PUNCT		
belê	ADV		
niha	ADV		
bû	VERB		
fermî	ADJ		
.	PUNCT		
	
kongireyeka rojnamevanî jî di evê bareyê de hat sazdan û Dr. Xalid Salih tê de da xuyakirin.
	
kongire	NOUN		
yek	DET		
a	IZAFE		
rojnamevanî	ADJ		
jî	ADV		
di 	ADP		
evê 	PRON		
bare	NOUN		
yê	DET		
de	ADP		
hat	AUX		
sazdan	VERB		
û	CCONJ		
Dr.	NOUN		
Xalid	PROPN		
Salih	PROPN		
tê	ADP		
de	ADP		
da	AUX		
xuyakirin	VERB		
.	PUNCT		
	
paşê jî, ji behra herêma Kurdistanê ji xezîneya Iraqê, ji herêma Kurdistanê re bihê şandin.
	
paşê	ADV		
jî	ADV		
,	PUNCT		
ji behra	ADP		
herêm	NOUN		
a	IZAFE		
Kurdistan	PROPN		
ê	DET		
ji	ADP		
xezîne	NOUN		
ya	IZAFE		
Iraq	PROPN		
ê	DET		
,	PUNCT		
ji	ADP		
herêm	NOUN		
a	IZAFE		
Kurdistan	PROPN		
ê	DET		
re	ADP		
bihê	AUX		
şandin	VERB		
.	PUNCT		
	
heta amadekirina evê nûçeyê jî hîna ev dêrendazên han berdewam in û dê PNA nûçeyên girêdayî evê dêrendazê vebiguhêze.
	
heta	ADP		
amadekirin	NOUN		
a	IZAFE		
evê	PROPN		
nûçe	NOUN		
yê	DET		
jî	ADV		
hîna	ADV		
ev	PRON		
dêrendaz	NOUN		
ên	IZAFE		
han	PART		
berdewam	ADJ		
in	VERB		
û	CCONJ		
dê	PART		
PNA	PROPN		
nûçe	NOUN		
yên	IZAFE		
girêdayî	ADJ		
evê	PROPN		
dêrendaz	NOUN		
ê	DET		
vebiguhêze	VERB		
.	PUNCT		
	
em di biwarê derxistin û investkarîya petrolê de piştevanîya hukûmeta herêma Kurdistanê dikin.
	
em	PRON		
di	ADP		
biwar	NOUN		
ê	DET		
derxistin	NOUN		
û	CCONJ		
investkarî	NOUN		
ya	IZAFE		
petrol	NOUN		
ê	DET		
de	ADP		
piştevanî	NOUN		
ya	IZAFE		
hukûmet	NOUN		
a	IZAFE		
herêm	NOUN		
a	IZAFE		
Kurdistan	PROPN		
ê	DET		
dikin	VERB		
.	PUNCT		
	
Ednan Muftî weha jî got: qanûna gazê û petrolê li parlîyamenta herêma Kurdistanê derkevtîye.
	
Ednan	PROPN		
Muftî	PROPN		
weha	ADV		
jî	ADV		
got	VERB		
:	PUNCT		
qanûn	NOUN		
a	IZAFE		
gaz	NOUN		
ê	DET		
û	CCONJ		
petrol	NOUN		
ê	DET		
li	ADP		
parlîyament	NOUN		
a	IZAFE		
herêm	NOUN		
a	IZAFE		
Kurdistan	PROPN		
ê	DET		
derkevtîye	VERB		
.	PUNCT		
	
ew qanûna han ji hemû alîyan ve hatîye hilsengandin û gelekî pêdivê ye.
	
ew	PRON		
qanûn	NOUN		
a	IZAFE		
han	PART		
ji	ADP		
hemû	ADJ		
alî	NOUN		
yan	DET		
ve	ADP		
hatîye	AUX		
hilsengandin	VERB		
û	CCONJ		
gelekî	ADV		
pêdivê	ADJ		
ye	VERB		
.	PUNCT		
	
divê em bi transparensîyê pirsan çareser bikin.
	
divê	VERB		
em	PRON		
bi	ADP		
transparensî	NOUN		
yê	DET		
pirs	NOUN		
an	DET		
çareser bikin	VERB		
.	PUNCT		
	
di evê dêrendaz û şadîmanê de, nûnerên kompanyayên bîyanî û gelek mêvan jî, li dîwana Se`ed Ebdullah amade bûn.
	
di	ADP		
evê	PRON		
